age,education,wage,hh_size,count_car,total_asset,total_income,total_debt,total_consumption,hospitalization_expenses,gender,hukou,marriage,physical_condition,work,old_age_insurance,medical_insurance,unemployment_insurance,housing_fund,poor_hh,house_type,phone_type,hhid,remark,pline,track,hhead,respond,year,returnee
33.0,9.0,,2.0,2,4920503.5,200000.0,,119600.0,,0.0,1.0,2.0,1.0,1.0,5.0,,0.0,0.0,0.0,1.0,1.0,201106715,,1.0,1,1.0,1.0,2015.0,1.0
32.0,16.0,149999.953125,5.0,2,2848918.8,557000.0,400000.0,497787.66,,0.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,2015031668,,1.0,0,1.0,1.0,2015.0,1.0
21.0,15.0,,3.0,0,1245000.0,59100.0,,52959.99,,0.0,1.0,1.0,1.0,0.0,,3.0,,,0.0,1.0,1.0,2015017296,,4.0,0,0.0,0.0,2015.0,0.0
20.0,12.0,,3.0,0,126819.45,50300.0,,58600.0,,1.0,0.0,2.0,1.0,0.0,,,,0.0,,2.0,1.0,2015005865,,2.0,0,0.0,0.0,2015.0,0.0
41.0,9.0,10015.494140625,3.0,0,175900.0,26467.0,,44624.0,,1.0,1.0,2.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,2013007285,疑似代答,1.0,1,1.0,2.0,2015.0,0.0
23.0,15.0,,3.0,0,463410.7,31150.0,200000.0,86740.0,,1.0,1.0,1.0,1.0,0.0,,3.0,,0.0,0.0,1.0,1.0,2015007300,,1.0,0,0.0,1.0,2015.0,1.0
33.0,12.0,,4.0,2,5091773.0,249400.0,,160399.98,,0.0,,2.0,,,,,,,,1.0,1.0,201102606,,1.0,1,0.0,0.0,2015.0,0.0
22.0,9.0,,2.0,0,146108.23,30500.0,,27702.98,,0.0,1.0,2.0,1.0,0.0,,3.0,,0.0,0.0,1.0,1.0,2013016063,,2.0,1,0.0,1.0,2015.0,1.0
27.0,9.0,,6.0,0,118389.484,199590.0,,29177.465,,0.0,,3.0,,,,,,,0.0,1.0,2.0,2013016815,,7.0,1,0.0,0.0,2015.0,0.0
19.0,9.0,,4.0,0,197150.0,55300.0,13000.0,53140.0,,1.0,1.0,2.0,1.0,1.0,3.0,3.0,,0.0,0.0,1.0,2.0,2015009116,,3.0,0,0.0,0.0,2015.0,1.0
34.0,12.0,,5.0,0,1182845.2,26300.0,,23400.855,,0.0,,2.0,,,,,,,,1.0,2.0,2013012851,,6.0,1,0.0,0.0,2015.0,0.0
33.0,16.0,,2.0,0,1785463.4,84900.0,,56074.64,,1.0,,2.0,2.0,1.0,,,1.0,1.0,,1.0,1.0,2015017631,,6.0,0,0.0,0.0,2015.0,0.0
23.0,15.0,,3.0,1,2723000.0,180000.0,50000.0,92099.99,,1.0,,1.0,,,,,,,,1.0,1.0,2013003798,,1.0,1,0.0,0.0,2015.0,0.0
29.0,9.0,,3.0,0,115243.75,5719.0,600.0,12879.003,,1.0,,2.0,,,,,,,0.0,1.0,3.0,2013020327,,3.0,1,0.0,0.0,2015.0,0.0
17.0,,1931.7064208984375,4.0,0,966883.6,25225.0,,25465.182,,1.0,1.0,1.0,1.0,1.0,,,,0.0,1.0,1.0,3.0,2013020648,,4.0,1,0.0,0.0,2015.0,1.0
47.0,15.0,10000.0029296875,2.0,0,165320.0,43900.0,,147950.03,,1.0,0.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,,1.0,1.0,2015020056,,1.0,0,0.0,1.0,2015.0,1.0
37.0,12.0,,3.0,1,191996.81,54536.0,,61340.203,8000.00048828125,0.0,1.0,2.0,1.0,0.0,3.0,3.0,,0.0,0.0,1.0,2.0,2013025069,,4.0,1,0.0,0.0,2015.0,1.0
24.0,15.0,,4.0,0,153950.0,50450.0,,23579.996,,0.0,,1.0,,,,,,,,1.0,2.0,2013004541,,5.0,1,0.0,0.0,2015.0,0.0
28.0,6.0,,4.0,1,334152.1,114750.0,362704.2,34211.844,,0.0,1.0,2.0,1.0,1.0,,3.0,0.0,0.0,,1.0,1.0,2015008043,,4.0,0,0.0,0.0,2015.0,1.0
