age,education,wage,hh_size,count_car,total_asset,total_income,total_debt,total_consumption,hospitalization_expenses,gender,hukou,marriage,physical_condition,work,old_age_insurance,medical_insurance,unemployment_insurance,housing_fund,poor_hh,house_type,phone_type,hhid,pline,track,hhead,year,hhid_2011,hhid_2013,hhid_2015,hhid_2017,returnee
28.0,16.0,35000.0,4.0,2,552258.0,184083.0,0.0,27729.0,,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,2015003667,23,1,,2017.0,.,.,2015003667,2017016301,1.0
20.0,15.0,,3.0,1,1789388.0,141270.0,136438.0,68260.0,,1.0,0.0,1.0,1.0,0.0,,,,,,1.0,1.0,2013005627,2,1,,2017.0,.,2013005627,2015007513,2017008028,0.0
38.0,9.0,120000.0,2.0,0,256657.0,147657.5,0.0,48300.0,,1.0,0.0,2.0,1.0,1.0,,3.0,0.0,1.0,0.0,1.0,2.0,2017037596,3,0,,2017.0,.,.,.,2017037596,1.0
25.0,12.0,35000.0,5.0,1,1069041.0,151900.0,0.0,45400.0,,1.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,,1.0,1.0,201100949,4,1,,2017.0,201100949,2013003283,2015003876,2017008982,1.0
18.0,12.0,,3.0,1,401100.0,65770.0,0.0,55580.0,,1.0,1.0,1.0,1.0,0.0,,3.0,,,0.0,1.0,2.0,2013027623,3,1,,2017.0,.,2013027623,2015036818,2017012124,1.0
34.0,9.0,,2.0,0,242404.0,43405.0,416000.0,14040.0,,0.0,1.0,2.0,1.0,0.0,,,,,0.0,1.0,1.0,2015009627,4,1,,2017.0,.,.,2015009627,2017007817,1.0
58.0,12.0,55200.0,6.0,4,6443190.0,481208.0,30000.0,153956.0,,1.0,0.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,,1.0,1.0,2015005108,1,1,1.0,2017.0,.,.,2015005108,2017022031,1.0
28.0,16.0,36000.0,3.0,1,5753605.0,484719.0,847200.0,109908.0,,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,2013001754,5,1,,2017.0,.,2013001754,2015001741,2017033990,1.0
46.0,6.0,,4.0,1,1570413.0,82475.0,0.0,49679.0,,0.0,1.0,2.0,1.0,1.0,,,0.0,,,1.0,1.0,2015031373,2,1,,2017.0,.,.,2015031373,2017039521,0.0
27.0,19.0,20000.0,3.0,0,232803.0,74865.0,1020000.0,35360.0,,1.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,201107629,3,1,,2017.0,201107629,2013023574,2015031934,2017027068,1.0
47.0,9.0,,3.0,0,1165033.0,45335.0,0.0,33467.0,,1.0,1.0,2.0,1.0,1.0,,3.0,0.0,,,1.0,1.0,2013018991,1,1,1.0,2017.0,.,2013018991,2015025765,2017006432,1.0
45.0,15.0,96000.0,4.0,1,1130772.0,245735.0,0.0,131619.0,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2017005363,3,0,,2017.0,.,.,.,2017005363,1.0
36.0,19.0,120000.0,2.0,1,3321325.0,326208.4,1750000.0,181900.0,,1.0,0.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,,2.0,1.0,2017024533,1,0,1.0,2017.0,.,.,.,2017024533,1.0
51.0,12.0,24000.0,1.0,0,359827.0,28000.0,30000.0,33960.0,,1.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,,1.0,1.0,2017011637,1,0,1.0,2017.0,.,.,.,2017011637,1.0
44.0,6.0,20000.0,4.0,0,331700.0,110801.0,0.0,45748.0,,0.0,1.0,2.0,1.0,1.0,,3.0,0.0,0.0,,1.0,2.0,2013023753,7,1,,2017.0,.,2013023753,2015032293,2017037034,0.0
24.0,16.0,,4.0,2,716427.0,35250.0,100000.0,65480.0,5000.0,0.0,1.0,2.0,1.0,0.0,,3.0,,,0.0,1.0,1.0,2013010992,21,1,,2017.0,.,2013010992,2015014843,2017030118,1.0
24.0,6.0,30000.0,4.0,0,664650.0,73083.25,70000.0,94322.0,,1.0,1.0,2.0,1.0,1.0,3.0,3.0,0.0,0.0,,1.0,1.0,2013027222,4,1,,2017.0,.,2013027222,2015036415,2017019526,0.0
37.0,9.0,,2.0,0,175036.0,59500.0,0.0,197780.0,,0.0,1.0,2.0,2.0,1.0,3.0,3.0,0.0,,,2.0,1.0,2017020744,1,0,1.0,2017.0,.,.,.,2017020744,0.0
28.0,19.0,,3.0,0,2383609.0,125652.0,30000.0,102600.0,,1.0,0.0,1.0,1.0,0.0,,4.0,,,,1.0,1.0,2015009292,3,1,,2017.0,.,.,2015009292,2017038842,1.0
29.0,9.0,,4.0,1,235517.0,211921.0,20000.0,87924.0,,0.0,1.0,2.0,1.0,0.0,,4.0,,0.0,,2.0,1.0,2017015848,1,0,1.0,2017.0,.,.,.,2017015848,1.0
