age,education,wage,hh_size,count_car,total_asset,total_income,total_debt,total_consumption,hospitalization_expenses,gender,hukou,marriage,physical_condition,work,old_age_insurance,medical_insurance,unemployment_insurance,housing_fund,poor_hh,house_type,phone_type,hhid,pline,hhead,year,returnee
18.0,16.0,,3.0,1,807223.0,238305.0,0.0,115870.0,,0.0,0.0,1.0,1.0,,,2.0,,,,1.0,1.0,2019030265,3,0,2019.0,0.0
27.0,15.0,45000.0,2.0,1,710664.0,195045.0,53000.0,115500.0,,0.0,1.0,2.0,2.0,,2.0,1.0,1.0,1.0,,1.0,1.0,2019033703,1,0,2019.0,0.0
60.0,12.0,,2.0,0,863845.0,16943.25,431290.0,63530.0,3800.0,1.0,1.0,2.0,3.0,,,1.0,0.0,0.0,0.0,2.0,1.0,2019022382,1,1,2019.0,0.0
52.0,12.0,60000.0,3.0,1,1925784.0,183005.0,,105450.0,,1.0,0.0,2.0,1.0,,2.0,1.0,1.0,1.0,,1.0,1.0,2019017278,1,1,2019.0,1.0
23.0,16.0,,6.0,1,226635.0,81708.5,80000.0,170501.0,,0.0,1.0,1.0,2.0,,,3.0,,,,1.0,1.0,2015027138,32,0,2019.0,0.0
21.0,16.0,,3.0,1,1888780.0,285050.0,,75840.0,,1.0,0.0,1.0,1.0,,,2.0,,,,1.0,1.0,2019027276,3,0,2019.0,0.0
32.0,16.0,50000.0,3.0,0,2206694.8,157535.0,288000.0,132500.0,,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,,1.0,1.0,2015005914,1,0,2019.0,1.0
57.0,15.0,,3.0,1,581751.0,48035.0,0.0,28983.0,,1.0,0.0,2.0,2.0,,4.0,2.0,,,,1.0,1.0,2015004183,1,1,2019.0,1.0
25.0,23.0,,2.0,0,519762.06,130936.0,,137655.0,,0.0,0.0,1.0,1.0,,,2.0,,,0.0,1.0,1.0,2019030854,3,0,2019.0,0.0
19.0,16.0,,4.0,1,2815175.0,89560.0,361000.0,163570.0,,1.0,1.0,1.0,1.0,,,2.0,,,0.0,1.0,1.0,2019030865,3,0,2019.0,0.0
17.0,9.0,,3.0,0,495440.0,245970.0,51089.0,61700.0,,0.0,1.0,,1.0,,,3.0,,,1.0,1.0,1.0,2013028014,3,0,2019.0,0.0
48.0,6.0,24000.0,3.0,1,876970.0,70876.05,0.0,51438.0,,0.0,0.0,2.0,2.0,1.0,,2.0,,0.0,,1.0,1.0,2019020850,1,0,2019.0,1.0
32.0,16.0,45000.0,2.0,2,1035004.0,148420.0,0.0,80720.0,,1.0,1.0,2.0,1.0,,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2015034806,4,0,2019.0,0.0
35.0,9.0,,2.0,1,6700250.0,71135.0,1280000.0,149900.0,,1.0,1.0,2.0,1.0,1.0,4.0,3.0,,0.0,0.0,1.0,1.0,2019029869,1,1,2019.0,1.0
49.0,9.0,,1.0,0,606977.6,33686.75,0.0,39652.0,,0.0,0.0,3.0,3.0,,2.0,1.0,0.0,0.0,,1.0,1.0,2015031352,2,0,2019.0,1.0
16.0,9.0,,2.0,0,79515.0,65348.5,4000.0,10180.0,,1.0,1.0,,1.0,,,3.0,,,0.0,1.0,1.0,2019026099,2,0,2019.0,0.0
38.0,16.0,,2.0,2,1648695.2,174481.0,404800.0,203440.0,,0.0,0.0,2.0,2.0,,4.0,2.0,,0.0,,1.0,1.0,2015005882,21,1,2019.0,1.0
38.0,6.0,35000.0,2.0,0,365103.0,41890.0,2000.0,135921.0,,1.0,1.0,2.0,1.0,,,3.0,,0.0,0.0,1.0,1.0,2019024892,1,1,2019.0,1.0
30.0,9.0,63600.0,6.0,1,736269.1,475595.5,0.0,86089.0,,1.0,1.0,2.0,1.0,,3.0,3.0,,0.0,0.0,1.0,1.0,2015015792,5,0,2019.0,1.0
31.0,9.0,45000.0,2.0,0,624650.0,136001.0,150000.0,42423.0,,1.0,1.0,2.0,2.0,,3.0,3.0,,0.0,0.0,1.0,2.0,2015032387,3,0,2019.0,1.0
34.0,6.0,,2.0,1,3070964.0,305000.34,350000.0,119690.0,,0.0,1.0,2.0,1.0,,3.0,3.0,,0.0,1.0,1.0,1.0,2019001589,2,0,2019.0,0.0
26.0,15.0,,4.0,1,925900.0,37663.0,110000.0,97150.0,,0.0,1.0,1.0,1.0,,,3.0,,0.0,0.0,1.0,1.0,2013018502,4,0,2019.0,1.0
50.0,6.0,,3.0,0,390800.0,85008.75,,105430.0,,1.0,1.0,2.0,1.0,,4.0,2.0,,0.0,0.0,2.0,1.0,2019022433,1,1,2019.0,0.0
18.0,12.0,,3.0,1,362315.0,12425.0,110800.0,63746.0,,1.0,1.0,1.0,1.0,,,3.0,,,0.0,1.0,1.0,2013026779,3,0,2019.0,0.0
33.0,15.0,120000.0,2.0,1,5606597.0,333356.0,744879.0,75596.0,,1.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,2019011903,1,1,2019.0,1.0
23.0,12.0,26000.0,4.0,0,902156.0,163335.0,0.0,67848.0,,0.0,1.0,2.0,1.0,,,3.0,,0.0,0.0,1.0,2.0,2015028716,34,0,2019.0,0.0
39.0,15.0,,2.0,1,981528.0,285180.0,2000000.0,144329.0,,1.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,2019022140,1,1,2019.0,1.0
21.0,16.0,,3.0,1,217530.0,86820.0,24000.0,95796.0,,0.0,0.0,1.0,1.0,,,2.0,,,,1.0,1.0,2019008388,4,0,2019.0,0.0
42.0,16.0,80000.0,2.0,1,2936663.0,119855.0,460000.0,57604.0,,1.0,0.0,2.0,1.0,,2.0,2.0,,1.0,,1.0,1.0,2019022834,2,0,2019.0,1.0
41.0,6.0,10000.0,6.0,0,212338.0,42050.0,70000.0,43327.0,,1.0,1.0,3.0,3.0,,3.0,3.0,,0.0,1.0,1.0,1.0,2019015841,4,0,2019.0,1.0
41.0,9.0,,2.0,1,1426000.0,178294.02,200000.0,47379.0,,1.0,1.0,2.0,2.0,,,3.0,,0.0,0.0,1.0,2.0,2019013063,3,0,2019.0,0.0
24.0,9.0,42000.0,3.0,0,448327.0,67395.0,0.0,48346.0,,1.0,1.0,1.0,1.0,,,3.0,,0.0,0.0,1.0,1.0,2013021229,3,0,2019.0,0.0
21.0,12.0,,3.0,1,926580.0,128720.0,0.0,125477.0,,0.0,0.0,1.0,1.0,,,2.0,,,,2.0,1.0,2017018137,1,0,2019.0,0.0
18.0,12.0,,3.0,0,552246.0,90753.0,0.0,117464.0,,1.0,1.0,1.0,1.0,,,4.0,,,,1.0,1.0,2019019934,3,0,2019.0,0.0
23.0,15.0,24000.0,3.0,0,469537.44,99938.0,0.0,47420.0,,1.0,0.0,1.0,1.0,,6.0,2.0,,0.0,,1.0,1.0,2013025825,3,0,2019.0,0.0
38.0,12.0,,2.0,1,3986900.0,170925.0,340000.0,189500.0,,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,2019022142,1,1,2019.0,0.0
60.0,12.0,4800.0,2.0,0,609750.0,9600.0,0.0,67708.0,,1.0,0.0,2.0,1.0,,2.0,1.0,0.0,1.0,,1.0,1.0,2013026348,2,1,2019.0,1.0
48.0,9.0,,4.0,0,133000.0,63149.0,0.0,69220.0,3000.0,1.0,1.0,2.0,3.0,,,,,0.0,0.0,1.0,1.0,2019020905,2,1,2019.0,1.0
33.0,15.0,,2.0,1,3635852.0,-9993.0,,130155.0,,0.0,0.0,2.0,1.0,,4.0,2.0,,0.0,,1.0,1.0,2017019543,2,0,2019.0,0.0
20.0,15.0,,3.0,1,69870.0,15078.0,33904.0,18650.0,,0.0,1.0,1.0,2.0,,,3.0,,,0.0,1.0,1.0,2017022598,2,0,2019.0,0.0
21.0,9.0,10000.0,4.0,0,196340.0,7200.0,7000.0,47500.0,,1.0,1.0,1.0,1.0,,,3.0,,0.0,0.0,1.0,2.0,2013004231,23,0,2019.0,0.0
20.0,16.0,,5.0,0,891163.0,44616.0,0.0,11828.0,,0.0,0.0,1.0,2.0,,4.0,2.0,,,,1.0,1.0,2019025078,4,0,2019.0,0.0
26.0,15.0,42000.0,3.0,0,87559.0,48000.0,5000.0,22286.0,,1.0,0.0,1.0,1.0,,,4.0,,1.0,,1.0,1.0,2019025354,3,0,2019.0,1.0
35.0,9.0,,2.0,0,229343.0,-4998.25,0.0,45390.0,,1.0,1.0,2.0,2.0,,,,,,0.0,1.0,1.0,2019025683,1,1,2019.0,1.0
19.0,15.0,,4.0,1,816580.0,44310.0,0.0,146102.0,,1.0,1.0,1.0,1.0,,,3.0,,,0.0,1.0,1.0,2017031736,32,0,2019.0,0.0
23.0,16.0,,4.0,0,492380.0,64620.0,60000.0,102904.0,,0.0,1.0,1.0,1.0,,,3.0,,,0.0,1.0,1.0,2019024494,1,0,2019.0,0.0
18.0,12.0,,4.0,0,1908040.0,155200.0,7200.0,209900.0,,1.0,1.0,1.0,1.0,,,3.0,,,0.0,2.0,1.0,2019030091,1,0,2019.0,0.0
16.0,9.0,,2.0,0,10868.0,66037.266,0.0,29943.0,,0.0,1.0,,1.0,,,3.0,,,1.0,1.0,1.0,2013024337,4,0,2019.0,0.0
42.0,9.0,,3.0,0,1574437.9,226508.0,90000.0,69535.0,,0.0,1.0,2.0,1.0,,5.0,3.0,,0.0,0.0,1.0,1.0,2019020042,2,0,2019.0,1.0
19.0,16.0,,3.0,1,584602.0,97270.0,0.0,196132.0,,0.0,0.0,1.0,1.0,,,2.0,,,,1.0,1.0,2017001436,3,0,2019.0,0.0
18.0,12.0,,3.0,1,770959.0,102152.5,0.0,46380.0,,1.0,0.0,1.0,1.0,,,,,,,1.0,1.0,2019005273,3,0,2019.0,0.0
32.0,15.0,3400.0,2.0,0,48034.0,3800.0,0.0,77628.0,6000.0,0.0,0.0,2.0,3.0,1.0,,2.0,,0.0,,3.0,1.0,2019023420,1,0,2019.0,1.0
17.0,12.0,,3.0,0,1781147.0,106000.0,,146382.0,,1.0,0.0,,1.0,,,2.0,,,,1.0,1.0,2019005943,3,0,2019.0,0.0
32.0,16.0,60000.0,2.0,0,339276.25,87488.75,,25406.0,,1.0,0.0,1.0,1.0,,2.0,1.0,0.0,0.0,,1.0,1.0,2019028149,2,0,2019.0,1.0
35.0,15.0,25000.0,2.0,1,1296933.0,166205.0,0.0,68720.0,,0.0,1.0,2.0,1.0,,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2019022975,3,0,2019.0,1.0
30.0,16.0,,3.0,0,610126.5,131159.56,113200.0,30548.0,,1.0,0.0,1.0,1.0,,,4.0,,0.0,,1.0,1.0,2019008977,3,0,2019.0,0.0
34.0,15.0,40000.0,2.0,2,224438.0,158080.0,20000.0,190658.0,6543.0,0.0,1.0,2.0,1.0,,3.0,3.0,,0.0,0.0,1.0,2.0,2019013968,4,0,2019.0,1.0
31.0,16.0,,2.0,1,556671.0,72000.24,605000.0,284796.0,,1.0,0.0,2.0,1.0,,,,,0.0,,1.0,1.0,2019005202,1,1,2019.0,1.0
